Model,n_estimators,max_depth,Accuracy,Precision,Recall,F1,AUC,True_Positives,False_Positives,False_Negatives
Random Forest,10,10,0.8469387755102041,0.5333333333333333,0.3404255319148936,0.41558441558441556,0.7392109570161081,16,14,31
XGBoost,10,10,0.8299319727891157,0.4482758620689655,0.2765957446808511,0.3421052631578947,0.7451115513825481,13,16,34
Random Forest,50,10,0.826530612244898,0.4,0.1702127659574468,0.23880597014925373,0.7838745800671891,8,12,39
XGBoost,50,10,0.8333333333333334,0.4666666666666667,0.2978723404255319,0.36363636363636365,0.7648376259798433,14,16,33
Random Forest,100,10,0.8231292517006803,0.35294117647058826,0.1276595744680851,0.1875,0.7912826255491429,6,11,41
XGBoost,100,10,0.8469387755102041,0.5333333333333333,0.3404255319148936,0.41558441558441556,0.7706090102506676,16,14,31
Random Forest,150,10,0.826530612244898,0.375,0.1276595744680851,0.1904761904761905,0.7948143681626325,6,10,41
XGBoost,150,10,0.8435374149659864,0.5185185185185185,0.2978723404255319,0.37837837837837834,0.777844775605134,14,13,33
Random Forest,200,10,0.826530612244898,0.375,0.1276595744680851,0.1904761904761905,0.789818244465501,6,10,41
XGBoost,200,10,0.8435374149659864,0.5217391304347826,0.2553191489361702,0.3428571428571428,0.7763803945214919,12,11,35
Random Forest,250,10,0.826530612244898,0.375,0.1276595744680851,0.1904761904761905,0.789818244465501,6,10,41
XGBoost,250,10,0.8469387755102041,0.5416666666666666,0.2765957446808511,0.36619718309859156,0.7805151175811871,13,11,34
Random Forest,300,10,0.826530612244898,0.375,0.1276595744680851,0.1904761904761905,0.7870617624257042,6,10,41
XGBoost,300,10,0.8435374149659864,0.5217391304347826,0.2553191489361702,0.3428571428571428,0.7806012576449307,12,11,35
Random Forest,350,10,0.8299319727891157,0.4117647058823529,0.14893617021276595,0.21875,0.7895598242742701,7,10,40
XGBoost,350,10,0.8469387755102041,0.5454545454545454,0.2553191489361702,0.3478260869565218,0.7815487983461107,12,10,35
Random Forest,400,10,0.826530612244898,0.375,0.1276595744680851,0.1904761904761905,0.7894736842105264,6,10,41
XGBoost,400,10,0.8435374149659864,0.5217391304347826,0.2553191489361702,0.3428571428571428,0.7816349384098544,12,11,35
Random Forest,450,10,0.826530612244898,0.375,0.1276595744680851,0.1904761904761905,0.7853389611508312,6,10,41
XGBoost,450,10,0.8435374149659864,0.5217391304347826,0.2553191489361702,0.3428571428571428,0.7790507364975451,12,11,35
Random Forest,500,10,0.826530612244898,0.375,0.1276595744680851,0.1904761904761905,0.7868894822982169,6,10,41
XGBoost,500,10,0.8435374149659864,0.5217391304347826,0.2553191489361702,0.3428571428571428,0.7815487983461108,12,11,35
